Store Name,Row ID,Title,Code,Description,Expiry Date,Status,Coupon URL,Priority
,,,,,,,,
ANTA,,10% Off on Sign-Up,,Sign-Up to Member's Club and get 10% Off on your Next Order,,Active,https://anta.com/,5
ANTA,,Free Shipping,,ANTA Sports Members get Free Shipping on All Orders,,Active,https://anta.com/,4
ANTA,,Up to 50% Off,,Up to 50% Off on Sales Section,,Active,https://anta.com/,
ANTA,,Up to 40% Off ,,Up to 40% Off on Kyrie Irving's Collection,,Active,https://anta.com/,
ANTA,,10% Off your First Order,ANTAFIRST10,Enjoy 10% Off on your First Order at ANTA Sports,,Active,https://anta.com/,2
ANTA,,10% Off on Selected Orders,ATAFFKAI10,10% Off on Selected Shoes and Clothings,,Active,https://anta.com/,3
ANTA,,10% Off on Women's Collection,CPTATAFFKAI10,"Get 10% Off on Women's Shoes, Clothing and Accessories",,Active,https://anta.com/,
ANTA,,10% Off Anta Kai 1's,JNH2B4,Enjoy 10% Discount on Men's Anta Kai 1 Shoes,,Active,https://anta.com/,
ANTA,,10% Off Sitewide,ANTA10,Get 10% Off on All Shoes and Accessories at ANTA Sports,,Active,https://anta.com/,1
ANTA,,10% Off on Running Shoes,ATAFFDISC15,Save 10% on All Running Shoes at ANTA Sports,,Active,https://anta.com/,
,,,,,,,,
Ekoi,,30% korting op uw bestelling,2026EK30,Ontvang 30% korting bij Ekoi,,Active,https://www.ekoi.com/nl-be/,
Ekoi,,10% korting op je eerste bestelling,WELCOME10,Ontvang 10% korting op je eerste bestelling van alle artikelen bij Ekoi.,,Active,https://www.ekoi.com/nl-be/,1
Ekoi,,15% korting op het hele assortiment,VICTORYEKOI,Geniet van 15% korting op alle bestellingen bij Ekoi.,,Active,https://www.ekoi.com/nl-be/,2
Ekoi,,20% korting op kleding,VICTORY2,Bespaar 20% op alle kleding en accessoires bij Ekoi.,,Active,https://www.ekoi.com/nl-be/,3
Ekoi,,€20 korting op je bestelling,WIN22EKOI,Ontvang €20 korting op uw bestelling vanaf €130.,,Active,https://www.ekoi.com/nl-be/,
Ekoi,,15% korting op uw aankoop,THEMOVE15,Profiteer van 15% korting op fietsonderdelen en -accessoires.,,Active,https://www.ekoi.com/nl-be/,
Ekoi,,15% korting op geselecteerde bestellingen,15SOLDES,"Bespaar 15% op helmen, brillen, tassen en meer.",,Active,https://www.ekoi.com/nl-be/,
